Occupation,Monthly Income,Credit Score,Years of Experience,Finance Status,Finance History,Car,Number of Children,Age,Gender,Education Level,Job Title,Salary
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,31,Female,Bachelor's,Event Coordinator,45000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,33,Male,Bachelor's,Junior Web Developer,50000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,33,Female,Bachelor's,Junior Operations Analyst,50000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,33,Male,Bachelor's,Junior Software Developer,50000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,32,Female,Bachelor's,Junior Financial Analyst,50000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,32,Female,Bachelor's,Junior Account Manager,55000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,33,Female,Bachelor's,Junior Operations Manager,70000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,33,Female,Bachelor's,Junior Operations Analyst,70000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,34,Female,Bachelor's,Junior Financial Analyst,70000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,33,Female,Bachelor's,Junior Marketing Manager,70000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,33,Male,Bachelor's,Junior Marketing Specialist,70000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,33,Male,Bachelor's,Junior Marketing Specialist,70000
Doctor,80000,900,12,Excellent,No issues,Yes,3,42,Female,Master's,Product Manager,120000
Doctor,80000,900,12,Excellent,No issues,Yes,3,39,Male,PhD,Senior Engineer,115000
Doctor,80000,900,12,Excellent,No issues,Yes,3,40,Female,Bachelor's,Event Coordinator,60000
Doctor,80000,900,12,Excellent,No issues,Yes,3,40,Female,Bachelor's,HR Manager,80000
Doctor,80000,900,12,Excellent,No issues,Yes,3,39,Female,Bachelor's,Training Specialist,65000
Doctor,80000,900,12,Excellent,No issues,Yes,3,40,Female,Master's,Senior Training Specialist,100000
Doctor,80000,900,12,Excellent,No issues,Yes,3,39,Female,Bachelor's,Senior Sales Representative,90000
Doctor,80000,900,12,Excellent,No issues,Yes,3,39,Female,Bachelor's,Senior Account Executive,95000
Doctor,80000,900,12,Excellent,No issues,Yes,3,40,Female,Bachelor's,Senior Sales Representative,100000
Doctor,80000,900,12,Excellent,No issues,Yes,3,42,Male,Bachelor's,Senior Operations Manager,110000
Doctor,80000,900,12,Excellent,No issues,Yes,3,40,Female,Bachelor's,Senior Marketing Manager,130000
Doctor,80000,900,12,Excellent,No issues,Yes,3,42,Female,Bachelor's,Senior Project Manager,120000
Doctor,80000,900,12,Excellent,No issues,Yes,3,39,Female,Bachelor's,Senior Project Manager,130000
Doctor,80000,900,12,Excellent,No issues,Yes,3,40,Male,Bachelor's,Senior Financial Analyst,130000
Doctor,80000,900,12,Excellent,No issues,Yes,3,40,Male,Bachelor's,Senior Financial Analyst,130000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,45,Male,PhD,Senior Manager,150000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,43,Female,PhD,Senior Consultant,140000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,40,Female,Bachelor's,HR Generalist,80000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,42,Female,Master's,Senior Graphic Designer,110000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,40,Female,Bachelor's,Office Manager,65000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,44,Female,PhD,Senior UX Designer,145000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,45,Female,PhD,Senior Product Designer,150000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,43,Male,Bachelor's,Senior Project Manager,120000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,45,Female,PhD,Senior Product Designer,150000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,44,Female,Master's,Senior HR Specialist,140000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,44,Female,PhD,Senior Product Designer,150000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,44,Female,PhD,Senior Product Designer,150000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,43,Female,PhD,Senior Data Scientist,150000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,44,Female,PhD,Senior Business Analyst,150000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,44,Female,PhD,Senior Business Analyst,150000
Businessman,100000,700,15,Good,Late payment 6 months ago,Yes,2,44,Female,PhD,Senior Business Analyst,150000
Engineer,50000,750,6,Fair,No issues,No,1,35,Male,Bachelor's,Financial Analyst,65000
Engineer,50000,750,6,Fair,No issues,No,1,33,Male,Master's,Product Designer,90000
Engineer,50000,750,6,Fair,No issues,No,1,33,Male,Bachelor's,Web Developer,65000
Engineer,50000,750,6,Fair,No issues,No,1,32,Male,Master's,Senior Software Engineer,100000
Engineer,50000,750,6,Fair,No issues,No,1,31,Female,Bachelor's,Marketing Coordinator,55000
Engineer,50000,750,6,Fair,No issues,No,1,32,Male,Master's,Senior Business Analyst,90000
Engineer,50000,750,6,Fair,No issues,No,1,31,Male,Master's,Senior Financial Analyst,95000
Engineer,50000,750,6,Fair,No issues,No,1,33,Female,Master's,Senior Financial Analyst,95000
Engineer,50000,750,6,Fair,No issues,No,1,34,Female,Master's,Senior Financial Advisor,100000
Engineer,50000,750,6,Fair,No issues,No,1,34,Female,Bachelor's,Junior Marketing Analyst,70000
Engineer,50000,750,6,Fair,No issues,No,1,34,Female,Master's,Senior Financial Advisor,100000
Engineer,50000,750,6,Fair,No issues,No,1,34,Female,Master's,Senior Financial Advisor,80000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,36,Female,Bachelor's,Administrative Assistant,45000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,34,Male,Master's,Business Development Manager,90000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,36,Male,Bachelor's,Technical Recruiter,70000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,35,Male,Master's,Product Marketing Manager,95000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,34,Male,Master's,Senior Software Developer,105000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,34,Male,Bachelor's,Senior Business Analyst,90000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,36,Female,Bachelor's,Senior Marketing Specialist,85000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,35,Female,Bachelor's,Senior Marketing Analyst,85000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,35,Male,Bachelor's,Senior Operations Analyst,85000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,36,Male,Bachelor's,Senior Operations Manager,95000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,35,Female,Bachelor's,Senior Marketing Analyst,85000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,36,Male,Bachelor's,Senior Marketing Specialist,95000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,37,Male,Bachelor's,Senior Financial Analyst,90000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,36,Male,Bachelor's,Senior Product Manager,95000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,35,Female,Bachelor's,Senior Marketing Analyst,85000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,36,Male,Bachelor's,Senior Business Analyst,95000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,35,Female,Bachelor's,Senior Marketing Analyst,85000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,36,Male,Bachelor's,Senior Marketing Specialist,95000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,36,Female,Bachelor's,Senior Marketing Manager,95000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,35,Female,Bachelor's,Senior Financial Manager,90000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,35,Female,Bachelor's,Senior Marketing Analyst,85000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,36,Male,Bachelor's,Senior Business Development Manager,110000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,36,Female,Bachelor's,Senior Marketing Manager,95000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,35,Female,Bachelor's,Senior Financial Manager,90000
Teacher,35000,700,8,Fair,Late payment 3 months ago,Yes,,35,Female,Bachelor's,Senior Marketing Analyst,85000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,28,Female,Master's,Data Analyst,65000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,29,Male,Master's,Software Developer,75000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,28,Female,Bachelor's,Social Media Specialist,45000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,29,Male,Master's,Data Scientist,75000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,30,Male,Bachelor's,Network Engineer,60000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,29,Female,Bachelor's,Graphic Designer,50000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,29,Male,Bachelor's,Marketing Analyst,50000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,30,Female,Bachelor's,Content Marketing Manager,55000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,29,Female,Bachelor's,Sales Associate,40000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,30,Female,Bachelor's,Digital Content Producer,50000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,29,Female,Bachelor's,Junior HR Generalist,45000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,29,Male,Bachelor's,Junior Web Designer,45000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,29,Female,Bachelor's,Junior Recruiter,45000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,30,Female,Bachelor's,Junior Copywriter,45000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,30,Female,Bachelor's,Junior Social Media Manager,45000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,30,Male,Bachelor's,Junior Advertising Coordinator,45000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,31,Female,Bachelor's,Junior Social Media Specialist,45000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,30,Male,Bachelor's,Junior Marketing Specialist,45000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,32,Male,Bachelor's,Junior Sales Representative,45000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,31,Male,Bachelor's,Junior Financial Analyst,50000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,31,Female,Bachelor's,Junior Marketing Coordinator,50000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,31,Male,Bachelor's,Junior Operations Analyst,50000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,31,Male,Bachelor's,Junior Project Manager,55000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,31,Male,Bachelor's,Junior Operations Analyst,50000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,32,Male,Bachelor's,Junior Marketing Coordinator,55000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,31,Female,Bachelor's,Junior Business Development Associate,50000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,31,Female,Bachelor's,Junior Financial Analyst,50000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,31,Male,Bachelor's,Junior Marketing Coordinator,55000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,31,Female,Bachelor's,Junior Business Development Associate,50000
Nurse,20000,600,3,Poor,Late payment 1 month ago,No,,31,Female,Bachelor's,Junior Financial Analyst,50000
Businessman,120000,850,20,Excellent,No issues,Yes,,52,Male,Master's,Director,200000
Businessman,120000,850,20,Excellent,No issues,Yes,,46,Male,PhD,Senior Manager,170000
Businessman,120000,850,20,Excellent,No issues,Yes,,48,Female,Master's,Human Resources Director,180000
Businessman,120000,850,20,Excellent,No issues,Yes,,45,Male,Bachelor's,Operations Analyst,110000
Businessman,120000,850,20,Excellent,No issues,Yes,,48,Male,PhD,Principal Engineer,170000
Businessman,120000,850,20,Excellent,No issues,Yes,,47,Male,Bachelor's,Senior Sales Manager,135000
Businessman,120000,850,20,Excellent,No issues,Yes,,50,Female,Master's,Director of Finance,180000
Businessman,120000,850,20,Excellent,No issues,Yes,,46,Male,Master's,Director of Operations,170000
Businessman,120000,850,20,Excellent,No issues,Yes,,47,Male,Master's,Director of Finance,170000
Businessman,120000,850,20,Excellent,No issues,Yes,,47,Male,Master's,Director of Operations,170000
Businessman,120000,850,20,Excellent,No issues,Yes,,47,Female,Master's,Director of Marketing,180000
Businessman,120000,850,20,Excellent,No issues,Yes,,48,Female,Master's,Director of HR,180000
Businessman,120000,850,20,Excellent,No issues,Yes,,47,Male,PhD,Director of Engineering,180000
Doctor,90000,800,10,Good,No issues,Yes,,38,Male,PhD,Senior Scientist,110000
Doctor,90000,800,10,Good,No issues,Yes,,39,Female,Bachelor's,Marketing Specialist,65000
Doctor,90000,800,10,Good,No issues,Yes,,38,Female,Master's,Digital Marketing Manager,90000
Doctor,90000,800,10,Good,No issues,Yes,,37,Male,Bachelor's,Project Manager,95000
Doctor,90000,800,10,Good,No issues,Yes,,34,Female,Master's,Financial Advisor,95000
Doctor,90000,800,10,Good,No issues,Yes,,38,Female,Master's,Public Relations Manager,90000
Doctor,90000,800,10,Good,No issues,Yes,,35,Male,Master's,Senior Product Manager,120000
Doctor,90000,800,10,Good,No issues,Yes,,39,Female,Bachelor's,Administrative Assistant,55000
Doctor,90000,800,10,Good,No issues,Yes,,38,Female,Bachelor's,Senior Accountant,80000
Doctor,90000,800,10,Good,No issues,Yes,,38,Female,Bachelor's,Senior Human Resources Coordinator,80000
Doctor,90000,800,10,Good,No issues,Yes,,39,Female,Bachelor's,Senior Operations Manager,120000
Doctor,90000,800,10,Good,No issues,Yes,,39,Male,Bachelor's,Senior Marketing Specialist,120000
Doctor,90000,800,10,Good,No issues,Yes,,38,Female,Bachelor's,Senior Product Manager,120000
Doctor,90000,800,10,Good,No issues,Yes,,37,Female,Bachelor's,Senior Financial Manager,120000
Doctor,90000,800,10,Good,No issues,Yes,,38,Female,Bachelor's,Senior Business Analyst,110000
Doctor,90000,800,10,Good,No issues,Yes,,37,Male,Bachelor's,Senior Business Development Manager,120000
Doctor,90000,800,10,Good,No issues,Yes,,38,Female,Bachelor's,Senior Business Analyst,110000
Doctor,90000,800,10,Good,No issues,Yes,,38,Female,Bachelor's,Senior Business Analyst,110000
Engineer,6000,700,3,Good,Excellent,Yes,,28,Female,Master's,Data Analyst,
Engineer,6000,700,3,Good,Excellent,Yes,,29,Male,Master's,Software Developer,65000
Engineer,6000,700,3,Good,Excellent,Yes,,28,Female,Bachelor's,Social Media Specialist,75000
Engineer,6000,700,3,Good,Excellent,Yes,,29,Male,Master's,Data Scientist,45000
Engineer,6000,700,3,Good,Excellent,Yes,,30,Male,Bachelor's,Network Engineer,75000
Engineer,6000,700,3,Good,Excellent,Yes,,29,Female,Bachelor's,Graphic Designer,60000
Engineer,6000,700,3,Good,Excellent,Yes,,29,Male,Bachelor's,Marketing Analyst,50000
Engineer,6000,700,3,Good,Excellent,Yes,,30,Female,Bachelor's,Content Marketing Manager,50000
Engineer,6000,700,3,Good,Excellent,Yes,,29,Female,Bachelor's,Sales Associate,55000
Engineer,6000,700,3,Good,Excellent,Yes,,30,Female,Bachelor's,Digital Content Producer,40000
Engineer,6000,700,3,Good,Excellent,Yes,,29,Female,Bachelor's,Junior HR Generalist,50000
Engineer,6000,700,3,Good,Excellent,Yes,,29,Male,Bachelor's,Junior Web Designer,45000
Engineer,6000,700,3,Good,Excellent,Yes,,29,Female,Bachelor's,Junior Recruiter,45000
Engineer,6000,700,3,Good,Excellent,Yes,,30,Female,Bachelor's,Junior Copywriter,45000
Engineer,6000,700,3,Good,Excellent,Yes,,30,Female,Bachelor's,Junior Social Media Manager,45000
Engineer,6000,700,3,Good,Excellent,Yes,,30,Male,Bachelor's,Junior Advertising Coordinator,45000
Engineer,6000,700,3,Good,Excellent,Yes,,31,Female,Bachelor's,Junior Social Media Specialist,45000
Engineer,6000,700,3,Good,Excellent,Yes,,30,Male,Bachelor's,Junior Marketing Specialist,45000
Engineer,6000,700,3,Good,Excellent,Yes,,32,Male,Bachelor's,Junior Sales Representative,45000
Engineer,6000,700,3,Good,Excellent,Yes,,31,Male,Bachelor's,Junior Financial Analyst,45000
Engineer,6000,700,3,Good,Excellent,Yes,,31,Female,Bachelor's,Junior Marketing Coordinator,50000
Engineer,6000,700,3,Good,Excellent,Yes,,31,Male,Bachelor's,Junior Operations Analyst,50000
Engineer,6000,700,3,Good,Excellent,Yes,,31,Male,Bachelor's,Junior Project Manager,50000
Engineer,6000,700,3,Good,Excellent,Yes,,31,Male,Bachelor's,Junior Operations Analyst,55000
Engineer,6000,700,3,Good,Excellent,Yes,,32,Male,Bachelor's,Junior Marketing Coordinator,50000
Engineer,6000,700,3,Good,Excellent,Yes,,31,Female,Bachelor's,Junior Business Development Associate,55000
Engineer,6000,700,3,Good,Excellent,Yes,,31,Female,Bachelor's,Junior Financial Analyst,50000
Engineer,6000,700,3,Good,Excellent,Yes,,31,Male,Bachelor's,Junior Marketing Coordinator,50000
Engineer,6000,700,3,Good,Excellent,Yes,,31,Female,Bachelor's,Junior Business Development Associate,55000
Engineer,6000,700,3,Good,Excellent,Yes,,31,Female,Bachelor's,Junior Financial Analyst,50000
Salesperson,3000,600,1,Fair,Poor,No,,26,Female,Bachelor's,Marketing Coordinator,50000
Salesperson,3000,600,1,Fair,Poor,No,,24,Male,Bachelor's,Junior Developer,45000
Salesperson,3000,600,1,Fair,Poor,No,,26,Female,Bachelor's,Customer Success Rep,40000
Salesperson,3000,600,1,Fair,Poor,No,,26,Male,Bachelor's,Junior Accountant,40000
Salesperson,3000,600,1,Fair,Poor,No,,26,Male,Bachelor's,Junior Software Developer,35000
Salesperson,3000,600,1,Fair,Poor,No,,27,Male,Bachelor's,Junior Sales Representative,35000
Salesperson,3000,600,1,Fair,Poor,No,,28,Female,Bachelor's,Junior Operations Manager,35000
Teacher,4000,750,5,Excellent,Excellent,Yes,,32,Male,Bachelor's,Software Engineer,35000
Teacher,4000,750,5,Excellent,Excellent,Yes,,34,Female,Master's,Business Analyst,90000
Teacher,4000,750,5,Excellent,Excellent,Yes,,34,Female,Master's,UX Designer,80000
Teacher,4000,750,5,Excellent,Excellent,Yes,,32,Male,Bachelor's,Account Manager,80000
Teacher,4000,750,5,Excellent,Excellent,Yes,,31,Female,Bachelor's,Customer Service Representative,75000
Teacher,4000,750,5,Excellent,Excellent,Yes,,31,Female,Bachelor's,Event Coordinator,45000
Teacher,4000,750,5,Excellent,Excellent,Yes,,33,Male,Bachelor's,Junior Web Developer,45000
Teacher,4000,750,5,Excellent,Excellent,Yes,,33,Female,Bachelor's,Junior Operations Analyst,50000
Teacher,4000,750,5,Excellent,Excellent,Yes,,33,Male,Bachelor's,Junior Software Developer,50000
Teacher,4000,750,5,Excellent,Excellent,Yes,,32,Female,Bachelor's,Junior Financial Analyst,50000
Teacher,4000,750,5,Excellent,Excellent,Yes,,32,Female,Bachelor's,Junior Account Manager,50000
Teacher,4000,750,5,Excellent,Excellent,Yes,,33,Female,Bachelor's,Junior Operations Manager,55000
Teacher,4000,750,5,Excellent,Excellent,Yes,,33,Female,Bachelor's,Junior Operations Analyst,70000
Teacher,4000,750,5,Excellent,Excellent,Yes,,34,Female,Bachelor's,Junior Financial Analyst,70000
Teacher,4000,750,5,Excellent,Excellent,Yes,,33,Female,Bachelor's,Junior Marketing Manager,70000
Teacher,4000,750,5,Excellent,Excellent,Yes,,33,Male,Bachelor's,Junior Marketing Specialist,70000
Teacher,4000,750,5,Excellent,Excellent,Yes,,33,Male,Bachelor's,Junior Marketing Specialist,70000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,36,Female,Bachelor's,Sales Associate,70000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,33,Female,Master's,Marketing Manager,60000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,35,Female,Bachelor's,HR Generalist,90000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,33,Male,Master's,Business Intelligence Analyst,60000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,35,Male,Master's,Product Manager,85000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,33,Male,Bachelor's,Business Analyst,105000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,36,Male,Bachelor's,IT Support Specialist,75000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,36,Male,Bachelor's,Junior Data Analyst,60000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,33,Male,Master's,Senior Operations Manager,60000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,35,Male,Bachelor's,Senior Marketing Coordinator,115000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,35,Male,Bachelor's,Senior Operations Analyst,80000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,34,Male,Bachelor's,Senior Product Manager,85000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,36,Male,Bachelor's,Senior Accountant,95000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,33,Male,Bachelor's,Senior Product Development Manager,90000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,35,Male,Bachelor's,Senior Business Development Manager,100000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,34,Male,Bachelor's,Senior Operations Coordinator,90000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,34,Male,Bachelor's,Senior Operations Coordinator,90000
Entrepreneur,8000,800,7,Good,Excellent,Yes,,34,Male,Bachelor's,Senior Operations Coordinator,90000
Lawyer,9000,820,10,Excellent,Good,Yes,,38,Male,PhD,Senior Scientist,90000
Lawyer,9000,820,10,Excellent,Good,Yes,,39,Female,Bachelor's,Marketing Specialist,110000
Lawyer,9000,820,10,Excellent,Good,Yes,,38,Female,Master's,Digital Marketing Manager,65000
Lawyer,9000,820,10,Excellent,Good,Yes,,37,Male,Bachelor's,Project Manager,90000
Lawyer,9000,820,10,Excellent,Good,Yes,,34,Female,Master's,Financial Advisor,95000
Lawyer,9000,820,10,Excellent,Good,Yes,,38,Female,Master's,Public Relations Manager,95000
Lawyer,9000,820,10,Excellent,Good,Yes,,35,Male,Master's,Senior Product Manager,90000
Lawyer,9000,820,10,Excellent,Good,Yes,,39,Female,Bachelor's,Administrative Assistant,120000
Lawyer,9000,820,10,Excellent,Good,Yes,,38,Female,Bachelor's,Senior Accountant,55000
